RANK,SYMBOL,ISIN,CLOSE,SCORE,R12_PCT,R6_PCT,VOLATILITY_PCT,VAM,AGREE,ADTV_CR,STALE_SESSIONS,FROZEN_RATE,ELIGIBLE
487,SUNTV,INE424H01027,460.6,-0.0,-19.0,-24.7,33.7,-0.5638,0.0,15.95,0,0.0,HAAN
487,BHARTIHEXA,INE343G01021,1531.1,-0.0,-17.7,-7.7,28.1,-0.6299,0.0,31.24,0,0.0,HAAN
487,RAMCOCEM,INE331A01037,864.35,-0.0,-18.7,-24.2,25.7,-0.7276,0.0,21.68,0,0.0,HAAN
487,RVNL,INE415G01027,206.0,-0.0,-36.0,-35.3,33.9,-1.0619,0.0,118.37,0,0.0,HAAN
487,SURYAROSNI,INE335A01020,216.3,-0.0,-25.7,-3.3,38.8,-0.6624,0.0,16.38,0,0.0,HAAN
487,HBLENGINE,INE292B01021,660.2,-0.0,-15.4,-5.7,43.8,-0.3516,0.0,72.84,0,0.0,HAAN
487,IRCTC,INE335Y01020,472.6,-0.0,-34.5,-20.6,22.0,-1.5682,0.0,43.61,0,0.0,HAAN
487,TECHNOE,INE285K01026,969.95,-0.0,-37.8,-17.7,39.7,-0.9521,0.0,21.36,0,0.0,HAAN
487,BLUESTARCO,INE472A01039,1445.3,-0.0,-24.1,-26.4,30.9,-0.7799,0.0,70.48,0,0.0,HAAN
487,TCS,INE467B01029,2348.0,-0.0,-25.2,-11.3,28.1,-0.8968,0.0,912.53,0,0.0,HAAN
487,DMART,INE192R01011,3813.4,-0.0,-19.3,-1.4,24.1,-0.8008,0.0,236.12,0,0.0,HAAN
487,BAYERCROP,INE462A01022,3979.5,-0.0,-27.7,-14.7,21.5,-1.2884,0.0,15.11,0,0.0,HAAN
487,PGEL,INE457L01029,566.0,-0.0,-3.1,-9.4,42.8,-0.0724,0.0,134.66,0,0.0,HAAN
487,TRANSRAILL,INE454P01035,427.15,-0.0,-43.5,-23.5,37.6,-1.1569,0.0,19.6,0,0.0,HAAN
487,RELIANCE,INE002A01018,1313.1,-0.0,-7.0,-6.7,20.4,-0.3431,0.0,1660.47,0,0.0,HAAN
487,HUDCO,INE031A01017,178.35,-0.0,-16.3,-6.2,32.3,-0.5046,0.0,47.47,0,0.0,HAAN
487,INDIAMART,INE933S01016,1740.8,-0.0,-34.0,-20.2,23.6,-1.4407,0.0,21.83,0,0.0,HAAN
487,VMM,INE01EA01019,108.57,-0.0,-27.1,-14.9,30.9,-0.877,0.0,147.52,0,0.0,HAAN
487,SBICARD,INE018E01016,635.15,-0.0,-22.7,-18.1,26.8,-0.847,0.0,124.65,0,0.0,HAAN
487,DABUR,INE016A01026,379.0,-0.0,-26.9,-27.7,22.9,-1.1747,0.0,81.8,0,0.0,HAAN
